# 圆锥曲线问题推理过程数据集
# 共 5357 个有效样本 ([2]~[7756])
# 格式：[样本ID] 推理过程


[6217] 直线y=k(x-2)+3过定点P(2,3),曲线y=\sqrt{x^{2}-4}表示双曲线x^{2}-y^{2}=4(y\geqslant0)在x轴及其上方的上部分,双曲线x^{2}-y^{2}=4的渐近线为y=\pmx,左右顶点分别为A_{1}(-2,0),A_{1}(2,0)如图,过点P作直线l_{1},l_{2}分别与两渐近线平行.将直线l_{1}绕点P沿顺时针方向旋转,当过点A_{1}时,满足条件,此时k_{A_{1}P}=\frac{3-0}{2-(-2)}=\frac{3}{4}根据双曲线的图像特征,如图当直线l_{1}绕点P沿顺时针方向旋转,从PA_{1}旋转到l_{2}的位置时,满足与曲线y=\sqrt{x^{2}-4}有两个交点.所以斜率满足-1<k\leqslant\frac{3}{4}

[6219] 可得m>0时,m+3>3,椭圆的焦点在x轴上,则a=\sqrt{m+3},b=\sqrt{3},c=\sqrt{m}则e=\frac{c}{a}=\frac{\sqrt{m}}{\sqrt{m+3}}=\frac{1}{3},解得m=\frac{3}{8}.

[6221] 用配方化简x^{2}+y^{2}-2x-15=0得到圆的半径为4,所以椭圆的长轴为4,根据离心率求出c,根据勾股定理求出b得到椭圆的解析式即可.详解】\becausex^{2}+y^{2}\cdot2x\cdot15=0,(x\cdot1)^{2}+y^{2}=16,\thereforer=4=2a\thereforea=2,\becausee=0.5,\thereforec=1,\thereforeb^{2}=3.方程为:\frac{x^{2}}{4}+\frac{y^{2}}{3}=1

[6222] 抛物线y=\frac{1}{16}x^{2}的焦点为(0,4),所以m+3=4^{2}\Rightarrowm=13.

[6224] 因为焦点在x轴上的椭圆\frac{x^{2}}{5}+\frac{y^{2}}{m}=1所以0<m<5因为直线y=kx+l过定点P(0,1),且直线与椭圆\frac{x^{2}}{5}+\frac{y^{2}}{m}=1总有公共点所以点P在椭圆上或在椭圆的内部,即\frac{0^{2}}{5}+\frac{1^{2}}{m}\leqslant1解得1\leqslantm,综上,1\leqslantm<5答案为:1\leqslantm<5

[6226] 抛物线y=ax^{2},即x^{2}=\frac{1}{a}y',准线方程为y=-\frac{1}{4a}点A(m,2)到焦点的距离为3,所以2-(-\frac{1}{4a})=3,解得a=\frac{1}{4}

[6227] 因为|PA|-|PB|=4<2\sqrt{5},所以动点P的轨迹是焦点为A,B,实轴长为4的双曲线的上支.因为\frac{y^{2}}{4}-x^{2}=1(y\geqslant2)2c=2\sqrt{5},所以a=2,c=\sqrt{5},b^{2}=c^{2}-a^{2}=1,所以动点P的轨迹方程为

[6228] 设椭圆的参数方程为\begin{cases}x=4\cos(\\y=2\sqrt{3}s\end{cases}d=\frac{|4\cos\theta-4\sqrt{3}\sin\theta-12|}{\sqrt{5}}=\frac{4\sqrt{5}}{5}|\cos\theta-\sqrt{3}\sin\theta-3|=\frac{4\sqrt{5}}{5}|2\cos(\theta+\frac{\pi}{3})-3|,当\cos(\theta+\frac{\pi}{3})=1时,d_{\min}=\frac{4\sqrt{5}}{5},此时所求点为(2,-3)

[6229] F(-1,0)当直线MN斜率不存在时,|MN|=\frac{2b^{2}}{a}=\sqrt{2},|PQ|=2b=2,则\frac{|PQ|^{2}}{|MN|}=2\sqrt{2};当直线MN斜率存在时,设直线MN斜率为k,则MN方程为y=k(x+1),M(x_{1},y_{1},N(x_{2},y_{2})联立方程得:\begin{cases}y=k(x+1)\\\frac{x^{2}}{2}+y2=1\end{cases}整理得(2k^{2}+1)x^{2}+4k^{2}x+2k^{2}-2=0,由韦达定理x_{1}+x_{2}=-\frac{4k^{2}}{2k^{2}+1},x_{1}x_{2}=\frac{2k^{2}-3}{2k^{2}+1},|MN|=\sqrt{1+k^{2}\sqrt{(x_{1}+}}\frac{2\sqrt{2}}{2}-4x_{1}x_{2}=\frac{2\sqrt{2}+1}{2k^{2}+1},则直线PQ方程为:y=kx,P(x_{3},y_{3}),Q(x_{4},y_{4}),则\begin{cases}y=kx\\\frac{x^{2}}{2}+y^{2}=1\end{cases}解得x^{2}=\frac{2}{1+2k^{2}},y^{2}=\frac{2k^{2}}{1+2k^{2}},则|OP|^{2}=x^{2}+y2=\frac{2(1+k^{2})}{1+2k^{2}},则|PQ|=2|OP|,则|PQ|^{2}=4|OP|^{2}=\frac{8(1+k^{2})}{1+2k^{2}},\therefore\frac{|PQ|^{2}}{|MN|}=2\sqrt{2},故填2\sqrt{2}.

[6231] 求APAF周长的最小值,即求|PA|+|PF|的最小值设点P在准线上的射影为D,根据抛物线的定义,可知|PF|=|PD|因此,|PA|+|PF|的最小值,即|PA|+|PD|的最小值根据平面几何知识,可得当D,P,A三点共线时|PA|+|PD|最小.因此的最小值为x_{A}-(-1)=1+1=2,\because|AF|=1,所以APAF周长的最小值为2+1=3,

[6233] 抛物线y^{2}=-12x的焦点(-3,0),与双曲线\frac{x^{2}}{a}-\frac{y^{2}}{4}=1的一个焦点重合,可得3=\sqrt{a^{2}+4},解得a=\pm\sqrt{5}

[6234] 设P(x,y),则|PB|=\sqrt{x^{2}+(y-b)^{2}}=\sqrt{-\frac{c^{2}}{b^{2}}y^{2}-2by+a^{2}+b^{2}}=\sqrt{-\frac{c^{2}}{b^{2}}(y+\frac{b^{3}}{c^{2}})^{2}+a^{2}+b^{2}+\frac{b^{4}}{c^{2}}}\leqslant2b因为y\in[-b,b],当-\frac{b^{3}}{c^{2}}>-b即a^{2}<2c^{2}时,|PA|_{\max}=\sqrt{a^{2}+b^{2}+\frac{b^{4}}{c^{2}}}\leqslant2b'所以a^{2}+b^{2}+\frac{b^{4}}{c^{2}}\leqslant4b^{2}化简得:a^{4}-4a2c^{2}+4c^{4}\leqslant0\therefore(a^{2}-2c^{2})^{2}\leqslant0,显然该不等式不成立,当-\frac{b^{3}}{c^{2}}\leqslant-b^{,}即a^{2}\geqslant2c^{2}时,|PA|_{\max}=\sqrt{4a^{2}-4c^{2}}\leqslant2b,恒成立由a^{2}\geqslant2c^{2},得\frac{c^{2}}{a^{2}}\leqslant\frac{1}{2},所以0<e\leqslant\frac{\sqrt{2}}{2}综上,离心率的范围为(0,\frac{\sqrt{2}}{2}]

[6235] 设x_{1}=2\sqrt{2}\cos\theta,y_{1}=\sqrt{2}\sin\theta且\theta\in[0,2\pi)|x_{2}-x_{1}|+|y_{2}-y_{1}|=|x_{2}-2\sqrt{2}\cos\theta|+|y_{2}-\sqrt{2}\sin\theta|=\frac{1}{2}(2|x_{2}-2\sqrt{2}\cos\theta|+2|y_{2}-\sqrt{2}\sin\theta|\geqslant\frac{1}{2}(|x_{2}-2\sqrt{2}\cos\theta|+2|y_{2}-\sqrt{2}\sin\theta|)\geqslant\frac{1}{2}|x_{2}+2y_{2}-2\sqrt{2}\cos\theta-2\sqrt{2}\sin\theta=\frac{1}{2}|8-2\sqrt{2}(\cos\theta+\sin\theta)|=\frac{1}{2}|8-4\sin(\theta+\frac{\pi}{4})|\geqslant2,当且仅当\sin(\theta+\frac{\pi}{4})=1且x,-2\sqrt{2}\cos\theta=0时等号成立故答客为:2

[6237] 根据双曲线的几何性质,圆的几何性质,得出其中的线段的关系|OP|^{2}+|PF|^{2}=|OF|,可得a^{2}=b^{2},可得出双曲线的渐近线的方程.由题意得下图:由双曲线C的性质得F(c,0).又以OF为直径的圆与圆x^{2}+y^{2}=a^{2}交于P,Q两点,且|PQ|=|OF|所以PQ为以OF为直径的圆的直径,OP=a,PF=OP所以|OP|^{2}+|PF|^{2}=|OF|,则a^{2}+a^{2}=c^{2},2a^{2}=c^{2},所以a^{2}=b^{2},所以C的渐近线方程为y=\pmx.均然安睛)本题:主要考查双曲线与圆的几何性质,关键在于由其几何性质得出线段的关系,并且与双曲线的a,b,c建立联系,属于中档题.

[6238] 由题意得\begin{cases}2a+2b=18\\c=3\\\end{cases}解得\begin{cases}a=\frac{1}{5}\\b=4\end{cases}=b^{2}+c^{2}因为椭圆的焦点在x轴上所以椭圆的标准方程为\frac{x^{2}}{25}+\frac{y^{2}}{16}=1

[6240] 根据双曲线方程判断焦点的位置,结合题意即可求c,再由直线与渐近线垂直有\frac{b}{a}=\frac{1}{2},进而可求a^{2},b^{2},写出双曲线方程即可.由题意知:双曲线焦点在x轴上,所以其中一个焦点为(5,0),即c=5.又\because双曲线渐近线方程为y=\pm\frac{b}{a}x,而直线2x+y-10=0与一条渐近线垂直\therefore\frac{b}{a}=\frac{1}{2},a^{2}+b^{2}=c^{2}=25,可得a^{2}=20,b^{2}=5\therefore双曲线的方程为\frac{x^{2}}{20}-\frac{y^{2}}{5}=1,

[6241] 由抛物线方程可得焦点坐标,即圆心,焦点到准线距离即半径,进而求得结果.[详解]抛物线y^{2}=4x中,2p=4,p=2,焦点F(1,0),准线l的方程为x=-1以F为圆心且与|相切的圆的方程为(x-1)^{2}+y^{2}=2^{2},即为(x-1)^{2}+y^{2}=4.睛)本题主要考查抛物线的焦点坐标,抛物线的准线方程,直线与圆相切的充分必要条件等知识,意在下学生的转化能力和计管求解能力

[6243] 如图,点P在椭圆上,所以|PF_{1}|+|PF_{2}|=2a.由|PF_{1}|=|PA|=|PF_{2}|+|AF_{2}|,|AF_{2}|=a代入上式得,|PF_{1}|=\frac{3a}{2},|PF_{2}|=\frac{a}{2}在\triangleAPF_{1},\cos\anglePAF_{1}=\frac{|AF_{1}|^{2}+|AP|^{2}-|P}{2|AF_{1}||AP|}\frac{2}{AP|}=\frac{a^{2}+(\frac{3a}{2})^{2}-(\frac{3a}{2})^{2}}{2a\times\frac{3a}{2}}=\frac{1}{3},又\cos\anglePAF_{1}=1-2\sin^{2}\angleOAF_{1}=\frac{1}{3},所以_{\sin\angleOAF_{1}}=\frac{\sqrt{3}}{3},即\sin\angleOAF_{1}=\frac{c}{a}=e=\frac{\sqrt{3}}{3}

[6244] 椭圆\frac{x^{2}}{25}+\frac{y^{2}}{9}=1的左右顶点为(\pm5,0),焦点为(\pm4,0)则所求双曲线的焦点在x轴,可设双曲线的标准方程为\frac{x^{2}}{a^{2}}-\frac{y^{2}}{b^{2}}=1则a=4,半焦距c=5,则b^{2}=9,所以双曲线方程为\frac{x^{2}}{16}-\frac{y^{2}}{9}=1.

[6246] 设P(m,n),由于点P是MA中点,且点M(x,y),A(8,2).所以\begin{cases}m=\frac{x+8}{2}\\n=\frac{y+2}{2}\end{cases},所以\begin{cases}x=2m-8\\y=2n-2\end{cases},又点M(x,y)在曲线x^{2}+2y^{2}=4上所以(2m-8)^{2}+2(2n-2)^{2}=4,所以m^{2}+2n^{2}-8m-4n+18=0所以MA中点P的轨迹方程是x^{2}+2y2-8x-4y+17=0.

[6247] 如下图所示,设P(m,n),则M(m,0),Q(m,-n),由题设知m\neq\pm2且n\neq0,直线AP的斜率k_{AP}=\frac{n}{m+2},直线MN斜率k_{MN}=-\frac{m+2}{n}\therefore直线MN的方程为y=-\frac{m+2}{n}(x-m),直线BQ的方程为y=\frac{n}{2-m}(x-2).联立\begin{cases}y=-\frac{m+2}{n}(x-m)\\y=\frac{n}{2-m}(x-2)\end{cases}解得y_{N}=-\frac{n(4-m)}{4-m^{2}+n^{2}}又点P在椭圆C上,得4-m^{2}=4n^{2},\thereforey_{N}=-\frac{4}{5}n又S_{ABMN}=\frac{1}{2}|BM|\cdot|y_{N}|=\frac{2}{5}|BM|\cdot|n|,S_{ABMQ}=\frac{1}{2}|BM|\cdot|n|\therefore\frac{S_{ABMN}}{S_{ABMQ}}=\frac{4}{5}

[6248] 由题意得:(\lambda-2)(\lambda-4)>0,解得:\lambda>4或\lambda<2,当\lambda>4时,c^{2}=\lambda-2+\lambda-4=2\lambda-6,则e=\frac{\sqrt{22-6}}{\sqrt{2-2}}=\frac{2}{\sqrt{3}},解得:\lambda=5,此时双曲线方程为:\frac{x2}{3}-y^{2}=1渐近线方程为:y=\pm\frac{\sqrt{3}}{3}x^{;}当\lambda<2时,c^{2}=2-\lambda+4-\lambda=6-2\lambda,则e=\frac{\sqrt{6-2\lambda}}{\sqrt{4-\lambda}}=\frac{2}{\sqrt{3}}解得:\lambda=1,此时双曲线方程为:\frac{y^{2}}{3}-x^{2}=1'渐近线方程为:y=\pm\sqrt{3}x.

[6249] 设焦点弦的倾斜角为\alpha,由抛物线焦点弦的焦半径公式可知:|AF|=\frac{p}{1-\cos\alpha},|BF|=\frac{p}{1+\cos\alpha}故:\frac{p}{1-\cos\alpha}=2\times\frac{p}{1+\cos\alpha},解得:\cos\alpha=\frac{1}{3},故\sin\alpha=\frac{2\sqrt{2}}{3}设原点到直线AB的距离为h,则S_{\triangleOAB}=\sqrt{3}|AB|=\frac{1}{2}\times|AB|\timesh,\thereforeh=2\sqrt{2}由三角函数的定义可得:\sin\alpha=即\frac{2\sqrt{2}}{3}=\frac{4\sqrt{3}}{p},解得:p=3\sqrt{6}

[6250] y^{2}=8x焦点坐标是(2,0)双曲线\frac{x^{2}}{3}-y^{2}=1的一条渐近线方程是y=\frac{\sqrt{3}}{3}x'即\sqrt{3}3x-3y=0点(2,0)到直线\sqrt{3}x-3y=0的距离d=\frac{|2\sqrt{3}-0|}{\sqrt{3+9}}=\frac{2\sqrt{3}}{2\sqrt{3}}=1.

[6252] 根据双曲线的定义有|PF_{1}|-|PF_{2}|=2a,即|PF_{1}|=|PF_{2}|+2a令t=|PF_{2}|,则\frac{|PF_{1}|^{2}}{|PF_{2}|^{2}+4}=\frac{(t+2a)^{2}}{t^{2}+4a^{2}}=\frac{t^{2}+4at+4a^{2}}{t^{2}+4a^{2}}=1+\frac{4a}{t+\frac{4a^{2}}{t}}\leqslant2当且仅当t=2a时,\frac{|PF_{1}^{2}}{|PF_{1}^{2}+4a^{2}}取得最大值2,即2a\geqslantc-a,所以双曲线C离心率的取值范围是(1,3]

[6253] 由题可知,双曲线方程为x^{2}-y^{2}=1.设直线方程为y=kx-1,联立\begin{cases}x^{2}-y^{2}=1\\y=kx-1\end{cases},消去y得(1-k^{2})x^{2}+2kx-2=0.由题可知此方程有两个正根,所以\frac{4=4k^{2}+8(1-k}{1-k^{2}}>0\frac{-2}{1-k^{2}>0}-k^{2})>0解得1<k<\sqrt{2}.MN的中点为(\frac{-k}{1-k^{2}},\frac{-1}{1-k^{2}}),所以线段MN的中垂线方程为y+\frac{1}{1-k^{2}}==-\frac{1}{k}(x+\frac{k}{1-k^{2}})令x=0,得截距t=\frac{-2}{1-12}=\frac{2}{12}>2效答客为:(2,+\infty)青】本题考查双曲线的标准方程和性质,双曲线和直线的位置关系,属于中档题

[6254] 连接PO,则可得|\overrightarrow{PF_{1}}+\overrightarrow{PF_{2}}|=2|\overrightarrow{PO}|=2c,从而可得正确自己连接PO,因为O为F_{1},F_{2}的中点,故\overrightarrow{PF}_{1}+\overrightarrow{PF_{2}}=2\overrightarrow{PO},所以|\overrightarrow{PF_{1}}+\overrightarrow{PF_{2}}|=2|\overrightarrow{PO}|而\overrightarrow{PF}\cdot\overrightarrow{PF_{2}}=0,故\trianglePF_{2}F_{1}是以P为直角顶点的直角三角形,故|\overrightarrow{PF_{1}}+\overrightarrow{PF_{2}}|=2|\overrightarrow{PO}|=2|\overrightarrow{F_{1}O}|=10

[6255] 设椭圆上和圆的一个交点为Q(2\cos\theta,\sin\theta)则PQ^{2}=(2\cos\theta-a)^{2}+\sin^{2}\theta=3\cos^{2}\theta-4a\cos\theta+a^{2}+1=3(\cos\theta-\frac{2a}{3})^{2}-\frac{a^{2}}{3}+1根据题意PQ小于P到左右顶点的距离,即函数f(\theta)=3(\cos\theta-\frac{2a}{3})^{2}-\frac{a2}{3}+1的最小值不能取左右顶点处故-1<\frac{2a}{3}<1,即a\in(-\frac{3}{2},\frac{3}{2})

[6257] 过点B作抛物线C的准线x=-1的垂线,垂足为点B_{1},因为周长L=|AF|+|AB|+|BF|=4\sqrt{2}+|AB|+|BB_{1}|,所以当A,B,B_{1}三点共线时AABF的周长最小,此时点B的坐标为(4,4),AABF的面积S=\frac{1}{2}\times1\times4=2.

[6259] 结合椭圆第二定义,\frac{|AF|}{|AM|}=e,设AB倾斜角为\theta,可得|AM|=|CF|-|AF|\cdot\cos\theta,联立可得|AF|=\frac{1}{2+\sqrt{3}\cos\theta},同理得|BF|=\frac{1}{2-\sqrt{3}\cos\theta},则化简得|AF|+2|FB|=\frac{6+\sqrt{3}\cos\theta}{4-3\cos^{2}\theta},令t=\cos\theta,结合配方法和均值不等式即可求解四图所示,由\frac{x^{2}}{4}+y^{2}=1=c^{2}=4-1=3\Rightarrowc=\sqrt{3}由椭圆第二定义可得\frac{|AF|}{|AM|}=e=\frac{c}{a}=\frac{\sqrt{3}}{2},\textcircled{1}又|AM|=|CF|-|AF|\cdot\cos\theta,即|AM|=\frac{a^{2}}{c}-c-|AF|s\theta=\frac{4\sqrt{3}}{3}-v联立\textcircled{1}\textcircled{2}解得|AF|=\frac{1}{2+\sqrt{3}\cos\theta},同理可行则|AF|+2|FB|=\frac{1}{2+\sqrt{3}\cos\theta}+\frac{}{2}=\frac{6+\sqrt{3}\cos\theta}{4-3\cos^{2}\theta}设t=\cos\theta,t\in[-1,1],则|AF|+2|FB|=\frac{6+\sqrt{3}t}{4-3t^{2}},t\in[-1,1],\frac{6+\sqrt{3}t}{4-3t^{2}}=\frac{6+\sqrt{3}t}{-(6+\sqrt{3}t)^{2}+12(6+\sqrt{3}t)-32}=\frac{1}{-(6+\sqrt{3}t)-\frac{32}{(6+\sqrt{3}t)}+1}\sqrt{3}t)\cdot\frac{32}{(6+\sqrt{3}t)}+=\frac{3+2\sqrt{2}}{4},当且仅当^{6+\sqrt{3}}=\frac{32}{6+\sqrt{3}t},即t=\frac{4\sqrt{6}-6\sqrt{3}}{3}取到等号,所以|AF|+2|FB|的最小值为\frac{3+2\sqrt{2}}{4}

[6261] 点A(-2,0),B(2,0),且动点M到A的距离比到B的距离多2所以|MA|-|MB|=2<|AB|=4,故动点M的轨迹为双曲线右侧一支,则动点M到B,C两点的距离之和|MB|+|MC|=|MA|+|MC|-2\geqslant|AC|-2=\sqrt{(3+2)^{2}+(\sqrt{11}-0)^{2}}-2=4当且仅当M,A,C三点共线时取等号,所以动点M到B,C两点的距离之和的最小值为4.

[6263] 依题意可设y=k(x-2),代入y^{2}=8x,得k^{2}x^{2}-(4k^{2}+8)x+4k^{2}=0x_{A}+x_{C}=\frac{4k^{2}+8}{k^{2}}-\frac{8}{k^{2}},所以|AC|=x_{A}+x_{C}+p=8+\frac{8}{k^{2}},以-\frac{2}{k}代k,得BD=8+\frac{8}{(-\frac{2}{2})^{2}}=8+2k^{2}所以|AC|+|BD|=16+2k^{2}+\frac{k}{k^{2}}\geqslant16+2\sqrt{2k^{2}\cdot\frac{8}{k^{2}}}=24.

[6265] 抛物线C:y=x^{2},即x^{2}=y,\thereforep=\frac{1}{2},开口向上,故准线方程为y=-\frac{1}{4}

[6266] 双曲线D:\frac{x^{2}}{a^{2}}-\frac{y^{2}}{b^{2}}=1(a>0,b>0)的渐近线为y=\pm\sqrt{3}x,则\frac{b}{a}=\sqrt{3},\frac{c}{a}=\sqrt{1+(\frac{b}{a})^{2}}=2P为双曲线D右支上任意一点,则|PF_{1}|-|PF_{2}|=2a,|PF_{1}|+|PF_{2}|\geqslant|F_{1}F_{2}|=2C,因此0<\frac{|PF|-|PF_{2}|}{|PF_{1}|+|PF_{2}|}\leqslant\frac{2a}{2c}=\frac{1}{2},

[6267] 利用数形结合的思想方法,如图所示:由图可知,交点有2个

[6268] 由题意,抛物线y^{2}=8x的焦点F(2,0),设A(x_{1},y_{1}),B(x_{2},y_{2})根据抛物线的定义,可得|AF|=x_{1}+2=6,可得x_{1}=4,可得y_{1}=\pm4\sqrt{2}不妨设点A位于第一象限,可得A(4,4\sqrt{2})所以k_{AF}=2\sqrt{2},所以直线AB的方程为y=2\sqrt{2}(x-2).联立方程组\begin{cases}y=2\sqrt{2}(x-2)\\v2=8x\end{cases},整理得x^{2}-5x+4=0,可得x_{1}+x_{2}=5,由抛物线的定义,可得|AB|=x_{1}+x_{2}+p=5+4=9.

[6273] \because双曲线的标准形式为:x^{2}-\frac{y^{2}}{3}=1,\thereforec=2,双曲线的右焦点为F(2,0)\because抛物线y^{2}=2px(p>0)的焦点与双曲线x^{2}-\frac{y^{2}}{3}=1的右焦点重合.\therefore\frac{p}{2}=2,可得p=4.

[6275] 设F_{1}到直线PF_{2}的垂足为M,因为|PF_{1}|=|F_{1}F_{2}|=2c,所以M为|PF_{2}|的中点由题意可知|PF_{2}|=2|MF_{2}|=2\sqrt{F_{1}F_{2}2-MF_{1}^{2}}根据双曲线定义|PF_{2}|-|PF_{1}|=2a,所以|PF_{2}|=2a+2c化简可得3c^{2}-2ac-8a^{2}=0,整理得(3c+4a)(c-2a)=0因为e>1解得e=\frac{c}{a}=2

[6277] 通径|AB|=\frac{2b^{2}}{a}=2\times2b,b=2a\thereforec=\sqrt{5}a,即e=\sqrt{5}

[6278] 设双曲线的方程为\frac{x^{2}}{a^{2}}-\frac{y^{2}}{b^{2}}=1(a>0,b>0)\because一条渐近线方程为y=\frac{3}{4}x\therefore\frac{b}{a}=\frac{3}{4},\therefore\frac{b^{2}}{a^{2}}=\frac{c^{2}-a^{2}}{a^{2}}=\frac{9}{16}\therefore该双曲线的离心率e=\frac{c}{a}=\frac{5}{4}

[6279] 如图所示:又AM\botMF,所以点B为线段FA的中点,又因为点A(0,2),所以B(\frac{p}{4},1),又点B在抛物线上,所以1=2p\times\frac{p}{4}解得p=\sqrt{2}

[6280] 设M(x,y),P(m,n),则由点P向x轴作垂线PP_{0},垂足为P_{0},且\overrightarrow{MP_{0}}=\frac{\sqrt{3}}{2}\overrightarrow{PP_{0}},故P_{0}(m,0),(m-x,-y)=\frac{\sqrt{3}}{2}(0,-n)\thereforem=x,n=\frac{2}{\sqrt{3}}y又点P在圆x^{2}+y2=1上\thereforex^{2}+\frac{4}{2}v2=1\thereforex^{2+\frac{y^{2}}{3}}=1

[6281] 由题意可得,当y\geqslant0时,\frac{x^{2}}{4}+\frac{y^{2}}{9}=1,当y<0时,\frac{x^{2}}{4}-\frac{y^{2}}{9}=1,渐近线方程为y=\pm\frac{3}{2}x,如图所示,由\begin{cases}kx+y-3=0\\\frac{x^{2}}{4}-\frac{y^{2}}{9}=1\end{cases}可得(9-4k^{2})x^{2}+24kx-72=0,\thereforeA=(24k)^{2}+288(9-4k^{2})=0,解得k=\pm\frac{3\sqrt{2}}{2},结合图象可得实数k的取值范围是

[6284] 由\overrightarrow{FA}=2\overrightarrow{AB},得\overrightarrow{OA}=\frac{1}{3}(\overrightarrow{OF}+2\overrightarrow{OB}),从而求出A点坐标,再由点A在渐近线y=\frac{b}{a}x上,能求出双曲线的离心率.设点F(c,0),B(0,b)由\overrightarrow{FA}=2\overrightarrow{AB},得\overrightarrow{OA}-\overrightarrow{OF}=2(\overrightarrow{OB}-\overrightarrow{OA})\therefore\overrightarrow{OA}=\frac{1}{3}(\overrightarrow{OF}+2\overrightarrow{OB}),\thereforeA(\frac{c}{3},\frac{2b}{3})\because点A在渐近线y=\frac{b}{a}x上,则\frac{2b}{3}=\frac{b}{a}\times\frac{c}{3}.解得e=\frac{c}{a}=2.

[6285] \because抛物线C:y^{2}=4x焦点F(1,0),准线x=-1,则直线AB的方程为y=k(x-1)联立方程\begin{cases}y=k(x-1)\\y^{2}=4x\end{cases}可得k^{2}x^{2}\cdot2(2+k^{2})x+k^{2}=0设A(x_{1},y_{1}),B(x_{2},y_{2}),则x_{1}+x_{2}=\frac{2(2+k^{2})}{k^{2}},x_{1}\cdotx_{2}=1,y_{1}+y_{2}=k(x_{1}+x_{2}-2)=\frac{4}{k}\textcircled{1}\therefore\overrightarrow{FA}=(1-x_{1},-y_{1}),\overrightarrow{BF}x_{1},-y_{1}),\overrightarrow{BF}=(x_{2}-1,y_{2})即\begin{cases}1-x_{1}=2(x_{2}-1)\\y_{1}=-2y_{2}\end{cases}\Rightarrow\begin{cases}x_{1}=3-2x_{2}\\y_{1}=-2y_{2}\end{cases}\textcircled{1}\textcircled{2}联立可得,x_{2}=\frac{k^{2}-4}{\iota^{2}},=.\frac{4}{k},代入抛物线方程y^{2}=4x可得k^{2}=8\becausek=\pm2\sqrt{2}

[6286] 双曲线\frac{x^{2}}{a^{2}}-\frac{y^{2}}{b^{2}}=1(a>0,b>0)的渐近线方程为y=\pm\frac{b}{a}x=\pm\frac{3}{2}x所以,双曲线的焦点在x轴上,且\frac{b}{a}=\frac{3}{2}所以,双曲线的离心率e=\sqrt{1+\frac{b^{2}}{a^{2}}}=\sqrt{1+\frac{9}{4}}=\frac{\sqrt{13}}{2}.

[6287] 将抛物线的方程化为标准方程,结合准线方程即可求得a的值.[详解]因为抛物线y=ax^{2}化为标准方程可得x^{2}=\frac{1}{a}y,可得p=\frac{1}{2a},所以准线方程为y=-\frac{1}{4a}即-\frac{1}{4a}=-\frac{1}{4}解得a=

[6291] 因为双曲线为\frac{x^{2}}{9}-\frac{y^{2}}{16}=1,左顶点为(-3,0),所以抛物线的焦点为(-3,0),所以抛物线的方程为y2=-12x

[6292] 首先根据两点间距离公式可得\frac{|PQ|}{|PF|}=\frac{\sqrt{(x+\frac{1}{x+1})^{2}+y^{2}}{}=\frac{\sqrt{x^{2}+5x+\frac{1}{4}}}(x\geqslant0)^{,}{}{-\frac{115}{4t^{2}}+\frac{3}{t}+1},再通过\frac{1}{1}=u可得\frac{|PQ|}{|PF|}=\sqrt{-\frac{15}{4}(u-\frac{2}{5})^{2}+\frac{8}{5},}即可求得最大值.由题意知点F(1,0),Q(-\frac{1}{2},0),设点P(x,y),则|PF|=x+1,所以\frac{|PQ|}{|PF|}=\underline{\sqrt{(}}\frac{+x+\frac{1}{4}+4x}{x+1}=\frac{\sqrt{x^{2}+5x+\frac{1}{4}}}{x+1}(x\geqslant0令x+=t(t\geqslant1),则x=t-1,所以\frac{|PQ|}{|PF|}=\frac{\sqrt{(t-}}{}\frac{-1)+\frac{1}{4}}{t}=\frac{\sqrt{t^{2}+3t-\frac{15}{4}}}{t}=\sqrt{-\frac{15}{4t^{2}}+\frac{3}{t}+1}.令\frac{1}{t}=u,则0<u\leqslant1,所以\frac{|PQ|}{|PF|}=\sqrt{-\frac{15}{4}u^{2}+3u+1}=\sqrt{-\frac{15}{4}(u-\frac{2}{5})^{2}+\frac{8}{5}}所以当u=\frac{2}{5}即x=\frac{3}{2}时,(\frac{|PQ|}{|PF|})_{\max}=\sqrt{\frac{8}{5}}=\frac{2\sqrt{10}}{5}

[6294] 过F作FE\botAB,利用点到直线距离可求出|FE|=b,再根据勾股定理可得|OE|=a|BE|=\sqrt{a^{2}-b^{2}},由\overrightarrow{OA}=2\overrightarrow{OB}可得|OE|=3|BE|,即可建立关系求解如图,过F作FE\botAB,则E是AB中点,设渐近线为y=\frac{b}{a}x,则|FE|=\frac{|bc|}{\sqrt{a^{2}+b^{2}}}=b则在直角三角形OEF中,|OE|=\sqrt{c^{2}-b^{2}}=a在直角三角形BEF中,|BE|=\sqrt{a^{2}-b^{2}},\because\overrightarrow{OA}=2\overrightarrow{OB},则|OE|=3|BE|,即a=3\sqrt{a^{2}-b^{2}},即8a^{2}=9b^{2}则8a^{2}=9(c^{2}-a^{2}),即17a^{2}=9c^{2},\thereforee=\frac{c}{a}=\frac{\sqrt{17}}{3}

